sim_id,esm_ckpt,embedding_col,eval_split,model,accuracy,balanced_accuracy,f1_macro,f1_weighted,mcc,top3_acc,top5_acc,n_train,n_eval,fit_seconds
30,facebook/esm2_t30_150M_UR50D,embedding_mid,test,knn,0.2293064614518324,0.18068627656044164,0.16328585246085073,0.2658238122879049,0.18819555095017204,0.3089601614189855,0.3355192154286519,498974,85244,0.3
40,facebook/esm2_t30_150M_UR50D,embedding_mid,test,rf,0.3747350856835988,0.2971658479983425,0.28414670062884007,0.4032408477956815,0.35821492561082696,0.4870203972036556,0.5515683886496802,504225,104279,342.4
40,facebook/esm2_t30_150M_UR50D,embedding_mid,test,logreg,0.3220686811342648,0.2621956881751124,0.23157709633582146,0.3550266093922268,0.2878969332145351,0.44241889546313257,0.5012418607773377,504225,104279,112.0
40,facebook/esm2_t30_150M_UR50D,embedding_mid,test,knn,0.41282520929429706,0.33200881534969956,0.3039561644266182,0.4266983531903633,0.38311409655938133,0.4713125365605731,0.4862436348641625,504225,104279,0.4
50,facebook/esm2_t30_150M_UR50D,embedding_mid,test,rf,0.8514421923940612,0.7163970730835915,0.6939281474563842,0.8634911249585138,0.8415191871677312,0.9196892509610982,0.9354156522750231,475127,137603,372.6
50,facebook/esm2_t30_150M_UR50D,embedding_mid,test,logreg,0.8025915132664259,0.7052358825567866,0.6141506250138848,0.8094277226255903,0.7906835945319355,0.9025239275306498,0.9230830723167373,475127,137603,121.3
50,facebook/esm2_t30_150M_UR50D,embedding_mid,test,knn,0.7433195497191195,0.6333630956311964,0.5770912197416945,0.7643859961788788,0.7299245736873559,0.9205685922545294,0.9313677754118733,475127,137603,0.3
60,facebook/esm2_t30_150M_UR50D,embedding_mid,test,rf,0.9428896676107336,0.8814560926155653,0.889729270171212,0.9411268665758786,0.9382037034050313,0.9692366773417088,0.9768623605329749,463467,145823,312.5
60,facebook/esm2_t30_150M_UR50D,embedding_mid,test,logreg,0.9416758673185985,0.9146498117954798,0.8820443662840027,0.9426939029199329,0.9369414236581182,0.9698401486733917,0.9780555879388025,463467,145823,79.9
60,facebook/esm2_t30_150M_UR50D,embedding_mid,test,knn,0.9376984426325066,0.8699579366436359,0.8565647545247708,0.9358599685541251,0.9325651104770643,0.9674331209754291,0.9723911865755059,463467,145823,0.3
70,facebook/esm2_t30_150M_UR50D,embedding_mid,test,rf,0.9662871737742335,0.9252050290649768,0.9298895533469805,0.9661387087445763,0.963352428716359,0.9846210278913691,0.9892197752931107,458907,147214,336.3
70,facebook/esm2_t30_150M_UR50D,embedding_mid,test,logreg,0.9654924124064287,0.9426494127223363,0.9174825558472143,0.9661452159882633,0.9625129493076579,0.9826850707133833,0.9877457307049601,458907,147214,85.2
