split,threshold,condition,bin,n,accuracy,MCC,F1_weighted,precision_weighted,recall_weighted
40,0.733,below_threshold,10-20%,33004,0.1629196461035026,0.12310999917705465,0.158327717910514,0.22377489036396275,0.1629196461035026
40,0.733,below_threshold,20-30%,33267,0.1551387260648691,0.11862107964054501,0.14814915551322666,0.33020892407042646,0.1551387260648691
40,0.733,below_threshold,30-40%,9596,0.48999583159649857,0.45062641758078753,0.4634402938197953,0.5699853205429237,0.48999583159649857
40,0.733,below_threshold,40-50%,358,0.5335195530726257,0.48275624186747196,0.5102467087839365,0.5641048335984744,0.5335195530726257
40,0.733,below_threshold,50-60%,10,0.5,0.47560975609756095,0.5,0.5,0.5
40,0.733,below_threshold,60-70%,2,0.0,0.0,0.0,0.0,0.0
50,0.733,all,0-10%,23,0.7391304347826086,0.5988812433473574,0.7053140096618357,0.7018633540372671,0.7391304347826086
50,0.733,all,10-20%,3493,0.2630976238190667,0.24426147114159955,0.23527311009739804,0.31439501406837816,0.2630976238190667
50,0.733,all,20-30%,9277,0.4027163953864396,0.37674254951456987,0.39342905177595705,0.5782123699338917,0.4027163953864396
50,0.733,all,30-40%,42000,0.7589523809523809,0.746262403477394,0.7506287790020432,0.8033381194545707,0.7589523809523809
50,0.733,all,40-50%,82235,0.8531890314343041,0.8429880633298753,0.85238189637806,0.8905024572507817,0.8531890314343041
50,0.733,all,50-60%,511,0.8434442270058709,0.8291672470033902,0.8409807127349426,0.8702953428596752,0.8434442270058709
50,0.733,all,60-70%,36,0.6666666666666666,0.5918279249113549,0.7106481481481481,0.787037037037037,0.6666666666666666
50,0.733,all,70-80%,10,1.0,,1.0,1.0,1.0
50,0.733,all,80-90%,15,1.0,,1.0,1.0,1.0
50,0.733,all,90-100%,3,1.0,,1.0,1.0,1.0
50,0.733,above_threshold,0-10%,13,0.9230769230769231,0.0,0.8861538461538461,0.8520710059171598,0.9230769230769231
50,0.733,above_threshold,10-20%,573,0.7923211169284468,0.7456686671901197,0.7601667096118488,0.7935782025785679,0.7923211169284468
50,0.733,above_threshold,20-30%,3090,0.816504854368932,0.7908853211698151,0.8070428358194703,0.8992431201600056,0.816504854368932
50,0.733,above_threshold,30-40%,27760,0.9320965417867435,0.9273504616389174,0.9279004011708123,0.934924024351785,0.9320965417867435
50,0.733,above_threshold,40-50%,63361,0.9812187307649816,0.9792163753555306,0.9767528948257168,0.9822499487569029,0.9812187307649816
50,0.733,above_threshold,50-60%,352,0.9744318181818182,0.9708092154062056,0.9684017962347159,0.9655455168382112,0.9744318181818182
